Country,HDI rank,Expected years of schooling,GNI per capita rank minus HDI rank,Gross national income (GNI) per capita,Human Development Index (HDI) ,Life expectancy at birth,Mean years of schooling
SWITZERLAND,1.0,16.50029945,5.0,66933.00454,0.962,83.9872,13.85966015
NORWAY,2.0,18.18519974,6.0,64660.10622,0.961,83.2339,13.00362968
ICELAND,3.0,19.16305923,11.0,55782.04981,0.959,82.6782,13.76716995
"HONG KONG, CHINA (SAR)",4.0,17.27816963,6.0,62606.8454,0.952,85.4734,12.22620964
AUSTRALIA,5.0,21.05459023,18.0,49238.43335,0.951,84.5265,12.72681999
DENMARK,6.0,18.71479988,6.0,60364.78595,0.948,81.3753,12.96049023
SWEDEN,7.0,19.41852951,9.0,54489.37401,0.947,82.9833,12.60972023
IRELAND,8.0,18.94522095,-3.0,76168.98443,0.945,81.9976,11.58222303
GERMANY,9.0,17.01013947,6.0,54534.21682,0.942,80.6301,14.09096691
NETHERLANDS,10.0,18.69316522,3.0,55979.411,0.941,81.6873,12.58162975
FINLAND,11.0,19.05192947,11.0,49452.16672,0.94,82.0381,12.87362003
SINGAPORE,12.0,16.5243206,-10.0,90918.64471,0.939,82.7545,11.92488003
BELGIUM,13.0,19.60421944,7.0,52293.39977,0.937,81.8787,12.37567997
NEW ZEALAND,13.0,20.28388977,16.0,44057.31394,0.937,82.4513,12.94468975
CANADA,15.0,16.39625931,9.0,46807.98619,0.936,82.6565,13.83442722
LIECHTENSTEIN,16.0,15.18157005,-15.0,146829.7006,0.935,83.2575,12.53854
LUXEMBOURG,17.0,14.39813995,-13.0,84649.47467,0.93,82.6287,13.01519217
UNITED KINGDOM,18.0,17.30971909,9.0,45224.76564,0.929,80.7422,13.4061203
JAPAN,19.0,15.22162588,12.0,42274.29134,0.925,84.7839,13.36610034
KOREA (REPUBLIC OF),19.0,16.52173996,9.0,44500.93187,0.925,83.6978,12.51293027
UNITED STATES,21.0,16.28097916,-14.0,64765.21509,0.921,77.1982,13.68342972
ISRAEL,22.0,16.05088997,10.0,41523.74319,0.919,82.255,13.3448664
MALTA,23.0,16.83856964,12.0,38884.45623,0.918,83.7769,12.21026039
SLOVENIA,23.0,17.65492058,10.0,39746.01987,0.918,80.6904,12.80368042
AUSTRIA,25.0,16.00795937,-8.0,53618.67138,0.916,81.5797,12.25669003
UNITED ARAB EMIRATES,26.0,15.71769047,-15.0,62573.59181,0.911,78.7104,12.69402981
SPAIN,27.0,17.91690063,10.0,38353.60164,0.905,83.01,10.60540009
FRANCE,28.0,15.81206989,-2.0,45937.05273,0.903,82.4988,11.61005974
CYPRUS,29.0,15.64826965,9.0,38188.42152,0.896,81.2033,12.44017029
ITALY,30.0,16.22678947,0.0,42839.51441,0.895,82.8502,10.7401104
ESTONIA,31.0,15.92895985,8.0,38048.26372,0.89,77.1436,13.54843044
CZECHIA,32.0,16.21968079,4.0,38745.21386,0.889,77.7283,12.86931038
GREECE,33.0,20.02878952,17.0,29002.48545,0.887,80.1106,11.40853024
POLAND,34.0,16.0271492,8.0,33033.96081,0.876,76.4572,13.1647501
BAHRAIN,35.0,16.29755974,-1.0,39497.24788,0.875,78.7605,11.04658985
LITHUANIA,35.0,16.28506088,5.0,37931.30359,0.875,73.7201,13.49810028
SAUDI ARABIA,35.0,16.13549042,-10.0,46111.55135,0.875,76.936,11.31052971
PORTUGAL,38.0,16.87122917,3.0,33154.53343,0.866,81.0443,9.575940132
LATVIA,39.0,16.20252991,4.0,32803.23423,0.863,73.5786,13.25271988
ANDORRA,40.0,13.30023874,-19.0,51166.62661,0.858,80.3684,10.55511952
CROATIA,40.0,15.11209965,8.0,30132.28814,0.858,77.5804,12.19108434
CHILE,42.0,16.73130035,14.0,24563.24486,0.855,78.9435,10.9349663
QATAR,42.0,12.63722038,-39.0,87134.13469,0.855,79.2716,9.99601145
SAN MARINO,44.0,12.26613998,-25.0,52653.82534,0.853,80.8786,10.80146027
SLOVAKIA,45.0,14.51303959,1.0,30690.48552,0.848,74.9101,12.91141987
HUNGARY,46.0,15.0336281,-2.0,32789.01063,0.846,74.5301,12.24958992
ARGENTINA,47.0,17.8748703,17.0,20925.26814,0.842,75.3899,11.14726927
TÜRKIYE,48.0,18.3382206,-3.0,31032.80106,0.838,76.0324,8.63313961
MONTENEGRO,49.0,15.08160973,16.0,20838.80129,0.832,76.3426,12.17648306
KUWAIT,50.0,15.32443332,-32.0,52919.76137,0.831,78.6729,7.328022618
BRUNEI DARUSSALAM,51.0,13.95178032,-42.0,64489.53954,0.829,74.6424,9.18
RUSSIAN FEDERATION,52.0,15.76636982,-1.0,27166.30891,0.822,69.419,12.77428805
ROMANIA,53.0,14.22990036,-4.0,30027.29131,0.821,74.1847,11.27511978
OMAN,54.0,14.57349014,-2.0,27054.32505,0.816,72.5406,11.65404034
BAHAMAS,55.0,12.89945,-8.0,30486.18429,0.812,71.5983,12.64192386
KAZAKHSTAN,56.0,15.76500034,1.0,23942.81837,0.811,69.3622,12.34756189
TRINIDAD AND TOBAGO,57.0,14.53545292,1.0,23392.02084,0.81,72.9709,11.61062419
COSTA RICA,58.0,16.54577065,8.0,19974.27358,0.809,77.0232,8.804059982
URUGUAY,58.0,16.83259964,5.0,21268.88122,0.809,75.4356,8.982549667
BELARUS,60.0,15.16996956,8.0,18848.96704,0.808,72.438,12.14358044
PANAMA,61.0,13.05787868,-8.0,26956.83707,0.805,76.2233,10.54059029
MALAYSIA,62.0,13.34304047,-8.0,26657.94355,0.803,74.8839,10.64505959
GEORGIA,63.0,15.56851959,17.0,14664.16825,0.802,71.694,12.82221985
MAURITIUS,63.0,15.17352977,-1.0,22025.34631,0.802,73.5552,10.42791048
SERBIA,63.0,14.40009022,4.0,19123.02747,0.802,74.1923,11.36987019
THAILAND,66.0,15.88221913,6.0,17030.15352,0.8,78.7154,8.697119713
ALBANIA,67.0,14.44799995,17.0,14131.11039,0.796,76.4626,11.28645502
BULGARIA,68.0,13.89729023,-8.0,23078.95595,0.795,71.798,11.41318035
GRENADA,68.0,18.66202035,18.0,13483.5774,0.795,74.9362,9.032104
BARBADOS,70.0,15.71338458,26.0,12306.341,0.79,77.5714,9.852700596
ANTIGUA AND BARBUDA,71.0,14.18462641,2.0,16792.36595,0.788,78.4968,9.293740746
SEYCHELLES,72.0,13.94161034,-17.0,25830.61775,0.785,71.2945,10.28312
SRI LANKA,73.0,14.13990486,21.0,12578.22055,0.782,76.3991,10.82730007
BOSNIA AND HERZEGOVINA,74.0,13.8,4.0,15241.91465,0.78,75.3003,10.53631973
SAINT KITTS AND NEVIS,75.0,15.42769157,-16.0,23358.33212,0.777,71.6822,8.662745
IRAN (ISLAMIC REPUBLIC OF),76.0,14.61524963,15.0,13000.7117,0.774,73.8749,10.63645314
UKRAINE,77.0,14.95656854,11.0,13255.50977,0.773,71.624,11.13142043
NORTH MACEDONIA,78.0,13.62443234,-3.0,15917.75283,0.77,73.8415,10.22815037
CHINA,79.0,14.2361149,-8.0,17504.39969,0.768,78.2107,7.600118446
DOMINICAN REPUBLIC,80.0,14.46655802,-11.0,17989.60037,0.767,72.6146,9.306864107
MOLDOVA (REPUBLIC OF),80.0,14.43299961,-1.0,14875.33189,0.767,68.8459,11.82159042
PALAU,80.0,15.78432,5.0,13818.67869,0.767,66.0204,12.49143
CUBA,83.0,14.44305992,37.0,7878.847482,0.764,73.6829,12.49773438
PERU,84.0,15.38773354,13.0,12245.89366,0.762,72.3769,9.885518863
ARMENIA,85.0,13.11676025,4.0,13157.9939,0.759,72.0431,11.33030033
MEXICO,86.0,14.86443996,-16.0,17896.29498,0.758,70.2127,9.221050262
BRAZIL,87.0,15.59906006,-5.0,14369.88848,0.754,72.7504,8.128813955
COLOMBIA,88.0,14.44274998,-7.0,14384.35666,0.752,72.8296,8.862859726
SAINT VINCENT AND THE GRENADINES,89.0,14.67220567,11.0,11961.08792,0.751,69.6291,10.83343029
MALDIVES,90.0,12.63560963,-14.0,15448.12788,0.747,79.9182,7.322
ALGERIA,91.0,14.62689602,13.0,10800.22546,0.745,76.3767,8.069284397
AZERBAIJAN,91.0,13.49689007,-8.0,14256.74456,0.745,69.3658,10.5429697
TONGA,91.0,16.04857063,34.0,6822.03125,0.745,70.9857,11.392594
TURKMENISTAN,91.0,13.21039963,-1.0,13020.7155,0.745,69.2644,11.26139
ECUADOR,95.0,14.62423038,11.0,10311.63273,0.74,73.67,8.817119598
MONGOLIA,96.0,14.98034954,9.0,10588.22532,0.739,70.9754,9.423700333
EGYPT,97.0,13.78649972,4.0,11731.69056,0.731,70.2207,9.573026174
TUNISIA,97.0,15.42538224,10.0,10257.54477,0.731,73.7719,7.431598614
FIJI,99.0,14.73679,9.0,9980.110866,0.73,67.114,10.92154799
SURINAME,99.0,13.03564357,-6.0,12672.20033,0.73,70.2743,9.77680063
UZBEKISTAN,101.0,12.47714043,18.0,7916.785725,0.727,70.8616,11.89558983
DOMINICA,102.0,13.3191862,0.0,11487.62422,0.72,72.814,8.142186
JORDAN,102.0,10.64655972,8.0,9923.714974,0.72,74.2563,10.44668007
LIBYA,104.0,12.85428,-27.0,15335.712,0.718,71.9112,7.599985
PARAGUAY,105.0,12.98799113,-10.0,12349.286,0.717,70.2617,8.861840248
"PALESTINE, STATE OF",106.0,13.35801029,21.0,6582.899416,0.715,73.4727,9.938480377
SAINT LUCIA,106.0,12.86610985,-7.0,12048.30381,0.715,71.1114,8.545040131
GUYANA,108.0,12.50272216,-47.0,22464.65734,0.714,65.6734,8.617477
SOUTH AFRICA,109.0,13.64371014,-17.0,12948.37325,0.713,62.341,11.37316036
JAMAICA,110.0,13.40492042,4.0,8834.47567,0.709,70.5003,9.154628661
SAMOA,111.0,12.41885948,24.0,5307.953374,0.707,72.7675,11.4038
GABON,112.0,12.97731,-25.0,13366.93455,0.706,65.821,9.436
LEBANON,112.0,11.28587,-1.0,9525.831467,0.706,75.0472,8.718636
INDONESIA,114.0,13.74889386,-11.0,11466.06836,0.705,67.5703,8.556509972
VIET NAM,115.0,12.9519325,6.0,7867.371345,0.703,73.6181,8.370280266
PHILIPPINES,116.0,13.12656975,-3.0,8920.428468,0.699,69.2664,8.969099998
BOTSWANA,117.0,12.26513765,-43.0,16198.31841,0.693,61.1409,10.34
BOLIVIA (PLURINATIONAL STATE OF),118.0,14.94697094,0.0,8111.190194,0.692,63.6304,9.827750206
KYRGYZSTAN,118.0,13.1953001,26.0,4566.303831,0.692,69.9774,11.37410556
VENEZUELA (BOLIVARIAN REPUBLIC OF),120.0,12.81608,20.0,4810.882621,0.691,70.5536,11.10727736
IRAQ,121.0,12.08747317,-12.0,9977.249073,0.686,70.3779,7.905593489
TAJIKISTAN,122.0,11.65303618,23.0,4547.742427,0.685,71.5942,11.3333938
BELIZE,123.0,12.99168968,6.0,6309.099778,0.683,70.4697,8.847599983
